energy_eV,emission
2.298,0.000
2.309,0.000
2.321,0.000
2.337,0.000
2.354,0.002
2.375,0.005
2.392,0.012
2.411,0.015
2.425,0.020
2.439,0.025
2.452,0.031
2.466,0.038
2.480,0.045
2.494,0.054
2.508,0.063
2.522,0.075
2.537,0.087
2.551,0.098
2.566,0.112
2.581,0.126
2.596,0.143
2.611,0.161
2.627,0.182
2.641,0.203
2.654,0.231
2.666,0.261
2.678,0.291
2.689,0.319
2.700,0.347
2.710,0.375
2.721,0.401
2.730,0.427
2.742,0.455
2.751,0.480
2.765,0.504
2.779,0.528
2.791,0.551
2.803,0.577
2.812,0.603
2.820,0.632
2.826,0.657
2.833,0.684
2.840,0.713
2.848,0.743
2.852,0.768
2.859,0.798
2.865,0.829
2.870,0.854
2.876,0.881
2.882,0.907
2.890,0.935
2.897,0.961
2.904,0.982
2.918,1.000
2.938,0.999
2.947,0.978
2.959,0.957
2.967,0.935
2.976,0.908
2.984,0.883
2.990,0.858
2.994,0.832
3.001,0.803
3.006,0.774
3.012,0.746
3.018,0.714
3.023,0.683
3.027,0.654
3.033,0.625
3.034,0.601
3.039,0.573
3.043,0.543
3.047,0.512
3.052,0.480
3.056,0.440
3.064,0.403
3.068,0.363
3.070,0.337
3.077,0.308
3.082,0.279
3.086,0.243
3.089,0.217
3.095,0.185
3.101,0.151
3.107,0.124
3.113,0.099
3.120,0.071
3.132,0.039
3.148,0.010
3.172,0.000
4.437,0.000
