wavelength_nm,transmittance
284,0.000
285,0.001
286,0.002
287,0.003
288,0.005
289,0.006
290,0.008
291,0.013
292,0.019
293,0.034
294,0.054
295,0.073
296,0.091
297,0.107
298,0.116
299,0.123
300,0.141
301,0.148
302,0.151
303,0.154
304,0.157
305,0.160
306,0.164
307,0.168
308,0.173
309,0.177
310,0.184
311,0.221
312,0.257
313,0.293
314,0.330
315,0.366
316,0.422
317,0.480
318,0.537
319,0.595
320,0.653
321,0.688
322,0.713
323,0.738
324,0.763
325,0.788
326,0.807
327,0.822
328,0.837
329,0.852
330,0.867
331,0.880
332,0.890
333,0.901
334,0.912
335,0.922
336,0.931
337,0.935
338,0.939
339,0.943
340,0.947
341,0.948
342,0.946
343,0.945
344,0.944
345,0.942
346,0.942
347,0.944
348,0.945
349,0.946
350,0.948
351,0.951
352,0.955
353,0.960
354,0.964
355,0.969
356,0.972
357,0.971
358,0.971
359,0.970
360,0.969
361,0.968
362,0.964
363,0.961
364,0.957
365,0.953
366,0.950
367,0.950
368,0.950
369,0.950
370,0.950
371,0.952
372,0.957
373,0.961
374,0.966
375,0.970
376,0.975
377,0.980
378,0.985
379,0.989
380,0.994
381,0.997
382,0.997
383,0.998
384,0.998
385,0.998
386,0.997
387,0.994
388,0.991
389,0.988
390,0.992
391,0.989
392,0.982
393,0.973
394,0.961
395,0.950
396,0.938
397,0.931
398,0.925
399,0.923
400,0.927
401,0.930
402,0.940
403,0.952
404,0.965
405,0.974
406,0.981
407,0.986
408,0.990
409,0.991
410,0.992
411,0.992
412,0.993
413,0.995
414,0.996
415,0.997
416,0.997
417,0.997
418,0.996
419,0.995
420,0.994
421,0.993
422,0.992
423,0.992
424,0.994
425,0.996
426,0.997
427,0.998
428,1.000
429,1.000
430,1.000
431,1.000
432,0.999
433,0.997
434,0.996
435,0.992
436,0.988
437,0.983
438,0.974
439,0.965
440,0.955
441,0.945
442,0.935
443,0.925
444,0.909
445,0.892
446,0.873
447,0.835
448,0.789
449,0.730
450,0.653
451,0.552
452,0.486
453,0.407
454,0.348
455,0.289
456,0.255
457,0.220
458,0.192
459,0.174
460,0.158
461,0.147
462,0.137
463,0.127
464,0.115
465,0.103
466,0.089
467,0.077
468,0.066
469,0.052
470,0.041
471,0.032
472,0.026
473,0.020
474,0.016
475,0.013
476,0.010
477,0.009
478,0.009
479,0.008
480,0.008
481,0.008
482,0.007
483,0.007
484,0.007
485,0.007
486,0.007
487,0.007
488,0.008
489,0.009
490,0.010
491,0.011
492,0.012
493,0.013
494,0.014
495,0.016
496,0.017
497,0.017
498,0.017
499,0.016
500,0.015
501,0.000
